Application Name, Application Label, Group ID, Role, SAML Role
amazon_aws,AW-PRO-IT-ESO-ACTIFIO-FEB-19-RITM4546208,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,ESO-Actifio_Full_Admin
amazon_aws,AW-PRO-IT-ESO-ACTIFIO-FEB-19-RITM4546208,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,ESO-Actifio_ReadOnly
amazon_aws,AW-PRO-IT-ESO-ACTIFIO-FEB-19-RITM4546208,00g238yp0kvDEI7E72p7,ESO-Actifio_ReadOnly,ESO-Actifio_Full_Admin
amazon_aws,AW-PRO-IT-ESO-ACTIFIO-FEB-19-RITM4546208,00g238yp0kvDEI7E72p7,ESO-Actifio_ReadOnly,ESO-Actifio_ReadOnly
amazon_aws,AW-PRO-IT-ESO-ACTIFIO-FEB-19-RITM4546208,00g2o0475tVrON6dS2p7,AWSServiceRoleForOrganizations,role_AM_UG_AWS_Connectivity_Ops_group
amazon_aws,AW-PRO-IT-ESO-ACTIFIO-FEB-19-RITM4546208,00g3mdokzpRlNLDu92p7,AWSServiceRoleForOrganizations,ESO-Actifio_Billing
amazon_aws,AW-PRO-IT-ESO-ACTIFIO-FEB-19-RITM4546208,00g23bwer9RvukXzs2p7,AWSServiceRoleForOrganizations,Role_Actifio_Ops
amazon_aws,AW-PRO-IT-ESO-ACTIFIO-FEB-19-RITM4546208,00g9s16ba1Qm23E9o2p7,ESO-Actifio_ReadOnly,ESO-Actifio_ReadOnly
amazon_aws,AW-PRO-IT-ESO-ACTIFIO-FEB-19-RITM4546208,00g9wo2ycydr8GFtP2p7,ESO_CVT_CloudOps,ESO_CVT_CloudOps
cloudconsole,00g4hicci0TZ2zF7q0x7,,,
cloudconsole,00g2o0475tVrON6dS2p7,,,
cloudconsole,00g4b1xxf876aMeFX2p7,,,
cloudconsole,00g9s16ba1Qm23E9o2p7,,,
cloudconsole,00g238yp0kvDEI7E72p7,,,
amazon_aws,AW-PRO-IT-ACE-NEXTRACKER-JUL-15,00g4hicci0TZ2zF7q0x7,NexTrk-Full_Access,NexTrk-Full_Access
amazon_aws,AW-TEST-IT-EIT-SANDBOX-AUG-17,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForAutoScaling,CVT_Scripting
amazon_aws,AW-TEST-IT-EIT-SANDBOX-AUG-17,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForAutoScaling,Flex_Full_Access
amazon_aws,AW-TEST-IT-EIT-SANDBOX-AUG-17,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForAutoScaling,Flex_ReadOnly
amazon_aws,AW-TEST-IT-EIT-SANDBOX-AUG-17,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForAutoScaling,Role_Ram-Test_Dev_SandBox
amazon_aws,AW-TEST-IT-EIT-SANDBOX-AUG-17,00g9s16ba1Qm23E9o2p7,Flex_ReadOnly,Flex_ReadOnly
amazon_aws,AW-TEST-IT-EIT-CONNECTIVITY-DEC-18,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,Flex_GNT_full
amazon_aws,AW-TEST-IT-EIT-CONNECTIVITY-DEC-18,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,Flex_admins
amazon_aws,AW-TEST-IT-EIT-CONNECTIVITY-DEC-18,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,Flex_readonly
amazon_aws,AW-TEST-IT-EIT-CONNECTIVITY-DEC-18,00g309bbk5JJrUqga2p7,AWSServiceRoleForOrganizations,Flex_GNT_full
amazon_aws,AW-PRO-IT-SGD-Matillion-JAN-20,00g4hicci0TZ2zF7q0x7,IT-SGD-Matillion-Admin,IT-SGD-Matillion-Admin
amazon_aws,AW-PRO-IT-SGD-Matillion-JAN-20,00g4hicci0TZ2zF7q0x7,IT-SGD-Matillion-Admin,IT-SGD-Matillion-Ops
amazon_aws,AW-PRO-IT-SGD-Matillion-JAN-20,00g238yp0kvDEI7E72p7,AWSServiceRoleForOrganizations,IT-SGD-Matillion-ESO_L3
amazon_aws,AW-PRO-IT-SGD-Matillion-JAN-20,00g31fg9c7hIJN1A52p7,IT-SGD-Matillion-Ops,IT-SGD-Matillion-Ops
amazon_aws,AW-PRO-IT-SGD-Matillion-JAN-20,00g9s16ba1Qm23E9o2p7,AWSServiceRoleForOrganizations,IT-SGD-Matillion-ReadOnly
amazon_aws,AW-PRO-IT-EIT-ViewPoint-Nov-19,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,ViewPoint_EC2_admin
amazon_aws,AW-PRO-IT-EIT-ViewPoint-Nov-19,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,ViewPoint_admin_role
amazon_aws,AW-PRO-IT-EIT-ViewPoint-Nov-19,00g9s16ba1Qm23E9o2p7,AWSServiceRoleForOrganizations,Viewpoint_ReadOnly
amazon_aws,AW-POC-IT-CTO-Lambda_Prototype-JUL-20,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,CTO-Lambda_Prototype-Admin
amazon_aws,AW-POC-IT-CTO-Lambda_Prototype-JUL-20,00g7vcfnkflwWNR482p7,CTO-Lambda_Prototype-PowerUser,CTO-Lambda_Prototype-PowerUser
amazon_aws,AW-PRO-IT-EMEA-ITBKSDEEPARCHIVE-SEP-20,00g4hicci0TZ2zF7q0x7,Admin_role,Admin_role
amazon_aws,AW-PRO-IT-EMEA-ITBKSDEEPARCHIVE-SEP-20,00g89s4zfb3FxwEGU2p7,EMEA_BACKUP_OPS,EMEA_BACKUP_OPS
amazon_aws,AW-TEST-IT-ESO-LTBackup-SEP-20,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,ESO-LTBackup-Admin
amazon_aws,AW-TEST-IT-ESO-LTBackup-SEP-20,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,ESO-LTBackup-PowerUser
amazon_aws,AW-TEST-IT-ESO-LTBackup-SEP-20,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,ESO-LTBackup-ReadOnly
amazon_aws,AW-TEST-IT-ESO-LTBackup-SEP-20,00g8ek1fu6Xsc25BJ2p7,AWSServiceRoleForOrganizations,ESO-LTBackup-PowerUser
amazon_aws,AW-TEST-IT-ESO-LTBackup-SEP-20,00g8ek1fu6Xsc25BJ2p7,AWSServiceRoleForOrganizations,ESO-LTBackup-ReadOnly
